                   Power Flow Solution by Newton-Raphson Method
                      Maximum Power Mismatch = 1.79641e-05 
                             No. of Iterations = 3 

    Bus  Voltage  Angle    ------Load------    ---Generation---   Injected
    No.  Mag.     Degree     MW       Mvar       MW       Mvar       Mvar 
                                                                          
     1   1.030    0.000     0.000     0.000   150.433     9.887     0.000
     2   1.040   -2.301    20.000    10.000    80.000   202.151     0.000
     3   1.019   -3.082    25.000    15.000     0.000     0.000     1.000
     4   1.004   -3.759    10.000     5.000     0.000     0.000     3.000
     5   0.988   -4.141    40.000    20.000     0.000     0.000     0.000
     6   0.991   -3.376    60.000    40.000     0.000     0.000     0.000
     7   1.010   -1.637    10.000     5.000   120.000    33.467     0.000
     8   1.001   -1.289    80.000    60.000     0.000     0.000     0.000
     9   1.004   -3.100   100.000    80.000     0.000     0.000     0.000
      
    Total                 345.000   235.000   350.433   245.505     4.000

